PtName,County,State,Pt_Own,OwType,Dam_Own,CH_MW,CH_MWh,CH_Pf,CH_OpYr,lat,lon,stream_gauge_id
Echo Dam,Summit,UT,City of Bountiful,Publicly Owned Utility,U S Bureau of Reclamation,4.4,8251.59,21.40823474,1987,40.9645996,-111.433403,10132000
Gateway,Morgan,UT,Weber Basin Water Conservancy District,Publicly Owned Utility,U S Bureau of Reclamation,4,10724.71,30.60704909,1958,41.1366043,-111.8311081,10136500
Weber,Morgan,UT,PacifiCorp,Investor-Owned Utility,PacifiCorp,3.8,13169.88,39.56344629,1911,41.1375847,-111.8856812,10137000
Causey,Weber,UT,Weber Basin Water Conservancy District,Publicly Owned Utility,U S Bureau of Reclamation,2.1,4011.53,21.80653403,1998,41.2992592,-111.5875168,10137500
Pine View Dam,Weber,UT,Weber-Box Elder Conservacy District,Publicly Owned Utility,U S Bureau of Reclamation,1.8,5143.47,32.61967275,1991,41.2545013,-111.8448029,10140100
Pioneer,Weber,UT,PacifiCorp,Investor-Owned Utility,U S Bureau of Reclamation,5,16067.35,36.68344749,1910,41.2346268,-111.9246597,10140700
Nephi,Juab,UT,Nephi City Corp,Publicly Owned Utility,Nephi City Corp,0.5,0,0,1986,39.7178993,-111.7306976,10145400
Nephi Culinary System,Juab,UT,Nephi City Corp,Publicly Owned Utility,Nephi City Corp,0.2,0,0,1986,39.7146988,-111.7873993,10146000
Bartholomew,Utah,UT,City of Springville,Publicly Owned Utility,City of Springville,1,2213.53,25.26860731,1988,40.1659012,-111.4973984,10153100
Hobble Creek,Utah,UT,City of Springville,Publicly Owned Utility,City of Springville,0.3,313,11.91019787,1948,40.1659012,-111.4973984,10153100
Upper Bartholomew,Utah,UT,City of Springville,Publicly Owned Utility,City of Springville,0.2,52.001,2.968093607,1948,40.1659012,-111.4973984,10153100
Jordanelle,Wasatch,UT,Central Utah Water Conservancy District,Publicly Owned Utility,U S Bureau of Reclamation,13,48916.89,42.95476818,2008,40.5966034,-111.4235916,10155200
Little Cottonwood,Salt Lake,UT,City of Murray,Publicly Owned Utility,City of Murray,4.8,9053.71,21.53184456,1983,40.5830002,-111.8013,10168000
Upper Beaver,Beaver,UT,Beaver City Corporation,Publicly Owned Utility,Beaver City Corporation,2.5,8767.29,40.03328767,1907,38.2858009,-112.4432983,10234500
Beaver City Lower,Beaver,UT,Beaver City Corporation,Publicly Owned Utility,Beaver City Corporation,0.275,0,0,1914,38.2611008,-112.5205002,10234500
Beaver Mid Hydro 2,Beaver,UT,Beaver City Corporation,Publicly Owned Utility,Beaver City Corporation,0.625,0,0,1942,38.2696991,-112.4804993,10234500
New Lahontan,Churchill,NV,Truckee-Carson Irrigation District,Publicly Owned Utility,U S Bureau of Reclamation,4,10682.69,30.487129,1989,39.4628983,-119.0658035,10312275
Lahontan,CHURCHILL,NV,Truckee-Carson Irrigation District,Publicly Owned Utility,U S Bureau of Reclamation,1.8,2706.47,17.16432014,1911,39.4628983,-119.0658035,10312275
Humboldt River Hydropower Project,PershingÃ?Â ,NV,Pershing County Water Conservation Dist,Publicly Owned Utility,U S Bureau of Reclamation,0.75,2900,44.14003044,2014,40.4696999,-118.3078003,10335000
Stampede,Sierra,CA,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),3.6,10420,33.04160325,1988,39.4704475,-120.1045532,10344500
Fleish,Washoe,NV,Truckee Meadows Water Authority,Publicly Owned Utility,Truckee Meadows Water Authority,2,13512.64,77.12694064,1914,39.4810181,-119.9927292,10347310
Verdi,WASHOE,NV,Truckee Meadows Water Authority,Publicly Owned Utility,Truckee Meadows Water Authority,2.4,13828.79,65.77620814,1911,39.52388,-119.980545,10347460
Washoe,Washoe,NV,Truckee Meadows Water Authority,Publicly Owned Utility,Truckee Meadows Water Authority,2.6,10098.99,44.34048999,1904,39.506218,-119.9345474,10347460
Friant Fishwater Release Powerhouse,Fresno and Madera,CA,FRIANT POWER AUTHORITY         (CA),Publicly Owned Utility,FRIANT POWER AUTHORITY         (CA),0.51,0,0,1991,36.9996986,-119.7061996,11251000
R C Kirkwood,Tuolumne,CA,San Francisco City & County of,Publicly Owned Utility,San Francisco City & County of,115.5,495422.41,48.96542826,1967,37.9479141,-119.7879333,11276500
Dion R Holm,Tuolumne,CA,San Francisco City & County of,Publicly Owned Utility,San Francisco City & County of,156.8,637971.65,46.4463099,1960,37.9757156,-119.9118805,11277300
La Grange,Stanislaus,CA,Turlock Irrigation District,Publicly Owned Utility,Turlock Irrigation District,4.5,15434.18,39.15317098,1924,37.6722488,-120.4443283,11289650
Drop No. 9,Stanislaus,CA,Turlock Irrigation District,Publicly Owned Utility,Turlock Irrigation District,1,3786.65,43.22659817,1979,37.6259995,-120.7501984,11290000
Yellowjacket,Sonoma,CA,Yellow Jacket Ranch,Private Non-utility,Yellow Jacket Ranch,0.1,312,35.61643836,1987,38.6534996,-122.6362991,11463980
Warm Springs,Sonoma,CA,Sonoma County Water Agency,Publicly Owned Utility,CESPN,2.7,11647.35,49.24467275,1988,38.7182007,-123.0086975,11465200
Baker Creek Diversion,Humboldt,CA,"Baker Station Associates, LP",Private Non-utility,"Baker Station Associates, LP",1.5,3022.2,23,2014,40.5263901,-123.7255554,11478500
East Side,Klamath,OR,PacifiCorp,Investor-Owned Utility,U S Bureau of Reclamation,3.2,5056.82,18.03945491,1924,42.2344017,-121.8003998,11507500
Lower Cold Springs Powerhouse,AlamedaÃ?Â ,CA,J. N. and H.E. Foster and R.Z. Walker,Private Non-utility,J. N. and H.E. Foster and R.Z. Walker,0.09,0,0,1984,41.9297981,-122.3525009,11516530
Luckey Hydro Powerhouse,SiskiyouÃ?Â ,CA,Howard P. Luckey,Private Non-utility,Howard P. Luckey,0.05,294,67.12328767,0,41.9333,-122.353302,11516530
Upper Cold Springs Powerhouse,SiskiyouÃ?Â ,CA,J. N. and H.E. Foster and R.Z. Walker,Private Non-utility,J. N. and H.E. Foster and R.Z. Walker,0.066,462,79.9086758,0,41.9297981,-122.3524017,11516530
Lewiston,Trinity,CA,Trinity Power Authority,Reclamation,Reclamation Mid Pacific Region (MP),0.35,2368,77.23418134,1964,40.7258644,-122.7937164,11525500
Big Creek Water Works,Trinity,CA,Big Creek Water Works Ltd,Private Non-utility,Big Creek Water Works Ltd,5,2833.5,6.469178082,1987,40.6487007,-123.5206985,11528700
Philipsburg Lower,Granite,MT,Town of Phillipsburg,Publicly Owned Utility,Town of Phillipsburg,0.1,0,0,1982,46.3335991,-113.2555008,12329500
Cabinet Gorge,Bonner,ID,Avista Corp,Investor-Owned Utility,Avista Corp,265.2,1086055.29,46.74921357,1952,48.0867004,-116.0633011,12391950
Monroe Street,Spokane,WA,Avista Corp,Investor-Owned Utility,Avista Corp,14.8,100535.41,77.54489849,1992,47.6615982,-117.4235992,12422500
Upper Falls,Spokane,WA,Avista Corp,Investor-Owned Utility,Avista Corp,10,65556.24,74.83589041,1922,47.6610985,-117.4207993,12422500
Upriver Dam Hydro Plant,Spokane,WA,Spokane City of,Publicly Owned Utility,Spokane City of,17.6,49480.59,32.09357488,1936,47.6869011,-117.3450012,12422500
Nine Mile,Spokane,WA,Avista Corp,Investor-Owned Utility,Avista Corp,37.6,104692.47,31.78509363,1908,47.7751007,-117.5430984,12426000
Charles L. Woodman,Teton,WY,Kinky Creek Operating Company,Private Non-utility,Kinky Creek Operating Company,0.012,0,0,1984,43.4082985,-110.1486969,13014300
Island Park,Fremont,ID,Fall River Rural Electricity,Cooperative,U S Bureau of Reclamation,4.8,11762.76,27.97460046,1994,44.4189987,-111.3960037,13042500
Falls River Hydro,Fremont,ID,Marysville Hydro Partners,Private Non-utility,Marysville Hydro Partners,9,48455.18,61.46014713,1993,44.0667,-111.2166977,13047500
City Power Plant,Bonneville,ID,Idaho Falls City of,Publicly Owned Utility,Idaho Falls City of,8,47074.59,67.17264555,1982,43.4916,-112.0444031,13060000
Gem State,Bonneville,ID,Idaho Falls City of,Publicly Owned Utility,Idaho Falls City of,23.4,115514.65,56.35300804,1988,43.4219017,-112.1019974,13060000
Portneuf Diversion,Bannock,ID,"Commercial Energy Management, Inc.",Private Non-utility,"Commercial Energy Management, Inc.",0.9,3900,49.46727549,1993,42.6236992,-111.9949036,13073000
Twin Falls,Twin Falls,ID,Idaho Power Co,Investor-Owned Utility,Idaho Power Co,52.7,119633.24,25.91416045,1935,42.589901,-114.3538971,13090500
Shoshone Falls,Jerome,ID,Idaho Power Co,Investor-Owned Utility,Idaho Power Co,11.5,77333.24,76.76517769,1921,42.5999985,-114.4000015,13090500
Lower Low Line,Twin Falls,ID,"Lowline Rapids, LLC",Private Non-utility,"Lowline Rapids, LLC",2.8,9264.03,37.76920254,1990,42.4818001,-114.3676987,13092747
Lateral No. 10,Twin Falls,ID,Lateral 10 Ventures,Private Non-utility,Lateral 10 Ventures,2.4,13893.67,66.08480784,1984,42.5667,-114.9167023,13108150
Amy Ranch-Black Creek,Butte,ID,New Energy Inc,Private Non-utility,New Energy Inc,0.65,0,0,1986,44.1818008,-113.2703018,13118700
Magic Dam Hydroelectric Project,Blaine,ID,Magic Reservoir Hydroelec Inc,Private Non-utility,Magic Reservoir Hydroelec Inc,9,12451.3,15.79312532,1989,43.2546997,-114.3569031,13142500
Koyle Ranch Hydroelectric Project,Gooding,ID,Koyle Hydro Inc,Private Non-utility,Koyle Hydro Inc,1.3,3017.29,26.49534598,1983,42.9500008,-114.8000031,13152500
Black Canyon 3,Gooding,ID,"Consolidated Hydro Mountain States, Inc.",Private Non-utility,"Consolidated Hydro Mountain States, Inc.",0.112,0,0,1984,43.0344009,-114.7242966,13152500
Twin Reservoirs,Walla Walla,WA,Walla Walla City of,Publicly Owned Utility,Walla Walla City of,2.2,12218.71,63.40135949,1988,45.9903984,-118.0474014,14013000
Opal Springs Hydro,Jefferson,OR,Deschutes Valley Water District,Publicly Owned Utility,Desehutes Valley Water District,4.3,26533.88,70.4414357,1985,44.4900436,-121.2989578,14087400
Pelton,Jefferson,OR,Portland General Electric Co,Investor-Owned Utility,Portland General Electric Co,109.8,414690,43.11388078,1957,44.6944008,-121.2303009,14092500
Reregulating,Jefferson,OR,Warm Springs Power Enterprises,Investor-Owned Utility,Warm Springs Power Enterprises,19.6,80531.94,46.90379508,1982,44.7247009,-121.2457962,14092500
Hills Creek,Lane,OR,USCE-North Pacific Division,USACE,USCE-North Pacific Division,30,134539.24,51.19453577,1962,43.7083397,-122.4236603,14145500
Dexter,Lane,OR,USCE-North Pacific Division,USACE,USCE-North Pacific Division,15,69516.59,52.9045586,1955,43.9236069,-122.8055725,14150000
Lookout Point,Lane,OR,USCE-North Pacific Division,USACE,USCE-North Pacific Division,120,293474.82,27.91807648,1955,43.9149132,-122.7515488,14150000
Dorena Lake Dam Project,Lane,OR,"Dorena Hydro, LLC.",Private Non-utility,CENWP,7.5,8836.4,13.44961948,2014,43.7868195,-122.9562302,14155500
Carmen Smith,Linn,OR,Eugene Water & Electric Board,Publicly Owned Utility,Eugene Water & Electric Board,114.3,234809.1,23.45117391,1963,44.0050011,-122.111702,14159200
Walterville,Lane,OR,Eugene Water & Electric Board,Publicly Owned Utility,Eugene Water & Electric Board,8,51953.11,74.134004,1949,44.0699997,-122.8349991,14164900
Water Street,Marion,OR,Santiam Water Control District,Publicly Owned Utility,Santiam Water Control District,0.185,0,0,1985,44.7953987,-122.7927017,14184100
Oak Grove,Clackamas,OR,Portland General Electric Co,Investor-Owned Utility,Portland General Electric Co,51,220472.12,49.34911809,1924,45.0749016,-121.9684982,14209250
Canyon Creek,Clackamas,OR,Douglas Water Power Company,Private Non-utility,Douglas Water Power Company,0.075,500,76.10350076,1985,45.0872192,-121.9962387,14209250
Faraday,Clackamas,OR,Portland General Electric Co,Investor-Owned Utility,Portland General Electric Co,19.2,155773.29,48.5856258,1907,45.2672005,-122.3199997,14210000
River Mill,Clackamas,OR,Portland General Electric Co,Investor-Owned Utility,Portland General Electric Co,18.8,101410.35,61.57725517,1911,45.2980995,-122.3469009,14210000
Vernon Station Hydroelectric Project,Multnomah,OR,Portland Water Bureau,Publicly Owned Utility, ,0.025,205.86,94,2012,45.5550613,-122.6460648,14211820
Merwin,Clark,WA,PacifiCorp,Investor-Owned Utility,PacifiCorp,136,510540.12,42.8535556,1931,45.9550018,-122.5569992,14220500
Biggs Creek Diversion,Clark,WA,Fredrick Earl Pickering,Private Non-utility,Fredrick Earl Pickering,0.015,50,38.05175038,1987,45.8428993,-122.4499969,14222500
Packwood,Lewis,WA,Energy Northwest,State,Energy Northwest,27.5,96062.65,39.87656704,1964,46.5971985,-121.5582962,14226500
Blue Lake,Sitka Division,AK,Sitka City & Borough of,Publicly Owned Utility,Sitka City & Borough of,15.9,50141.41,35.9994041,2014,57.0633011,-135.1916962,15087810
Blue Lake Pulp Mill,Sitka Division,AK,Sitka City & Borough of,Publicly Owned Utility,Sitka City & Borough of,0.87,0,0,2014,57.0633011,-135.1916962,15087810
Blue Lake Fish Valve,Sitka Division,AK,Sitka City & Borough of,Publicly Owned Utility,Sitka City & Borough of,0.67,0,0,2014,57.0633011,-135.1916962,15087810
Cooper Lake,Seward Division,AK,Chugach Electric Assn Inc,Cooperative,Chugach Electric Assn Inc,19.4,41075.29,24.16989714,1961,60.4682999,-149.8267059,15261000
Eklutna  Energy Recovery Sta, ,AK,Municipality of Anchorage,Publicly Owned Utility,Municipality of Anchorage,0.75,0,0,1988,61.2193985,-149.7292023,15275100
Chuniisax Creek, ,AK,City of Atka,Publicly Owned Utility,City of Atka,0.284,0,0,0,61.5999985,-148.9600067,15281000
Terror Lake,Kodiak Division,AK,Kodiak Electric Assn Inc,Cooperative,Kodiak Electric Assn Inc,33.6,114877.76,39.02946293,1984,57.6666985,-153.1000061,15295700
Waiahi Hydro (Upper),Kauai,HI,KIUC,Private Non-utility,KIUC,0.5,1770.000769,40.41097646,1941,22.0219631,-159.4644318,16060000
Waiahi Hydro (Lower),Kauai,HI,KIUC,Private Non-utility,KIUC,0.8,2832.001231,40.41097647,1930,22.0185127,-159.4441376,16060000
Wailuku,Hawaii,HI,Wailuku Holding Company LLC,Private Non-utility,Wailuku Holding Company LLC,10.4,26477.71,29.06316956,1993,19.7129898,-155.1485748,16704000
Neal Shoals,"Chester, Union",SC,South Carolina Electric&Gas Co,Investor-Owned Utility,South Carolina Electric&Gas Co,4.4,18213.12,47.25280199,1905,34.6652985,-81.4477005,21564493
Lockhart,Union,SC,Lockhart Power Co,Investor-Owned Utility,Lockhart Power Co,18,62859.53,39.86525241,1921,34.7785988,-81.4561005,21564493
Boyds Mill Hydro,Greenville,SC,Northbrook Carolina Hydro LLC,Private Non-utility,Northbrook Carolina Hydro LLC,1.4,2959.84,24.13437704,1996,34.455368,-82.19944,21650905
Rio Blanco,Naguabo,PR,Puerto Rico Electric Power Authority,State,Puerto Rico Electric Power Authority,5,17000,38.81278539,1930,18.2581005,-65.7791977,50075500
Corbett,Multnomah,OR,Corbett Water District,Political subdivision, ,0.01,0,0,2014,46.2513885,-124.3886108,
